BLOCK_HOUR,POOL_ADDRESS,POOL_NAME,N_TRADES,N_TRADERS,TRADING_VOL_TOKEN0,TRADING_VOL_TOKEN1
2021-05-24T00:00:00Z,0xcd9dab5e666de980cecdc180cb31f296733e2587,AKITA-WETH 10000 200,136,88,-1125.2515899127109,43906.098268309746
2021-05-24T00:00:00Z,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT 500 10,130,43,-16992.241215101654,157353.8896619093
2021-05-24T00:00:00Z,0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI-DAI 500 10,129,25,1385804.919008758,8762943.061339125
2021-05-24T00:00:00Z,0xd94fdb60194fefa7ef8b416f8ba99278ab3e00dc,DINU-WETH 10000 200,126,96,2640.4025494067973,134938.56154196666
2021-05-24T00:00:00Z,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH 10000 200,120,44,179369.27559127985,506890.30112308584
2021-05-24T00:00:00Z,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX-USDC 3000 60,117,68,-146285.88180153372,1220432.7822742313
2021-05-24T00:00:00Z,0xba8eb224b656681b2b8cce9c3fc920d98594675b,RSR-WETH 3000 60,113,60,-26138.62956969834,1012324.133931313
2021-05-24T00:00:00Z,0xcd83055557536eff25fd0eafbc56e74a1b4260b3,PERP-WETH 3000 60,107,24,-139139.76349919284,2329420.125267763
2021-05-24T00:00:00Z,0x34b8487fc2912c486b04d1436b07f19f7730cd43,WETH-POLK 3000 60,107,34,-24642.679123794405,436907.9797225883
2021-05-24T00:00:00Z,0x73a6a761fe483ba19debb8f56ac5bbf14c0cdad1,SUSHI-WETH 3000 60,106,44,-100671.6229347448,1385049.106204875
2021-05-24T00:00:00Z,0xf5381d47148ee3606448df3764f39da0e7b25985,POLS-WETH 3000 60,98,56,-10587.926706700728,250728.16383847053
2021-05-24T00:00:00Z,0x94391eecd76d9cb35013d7f263b64921e31842c8,XOR-WETH 3000 60,88,47,-26132.676894181182,436886.08746897645
2021-05-24T00:00:00Z,0x04916039b1f59d9745bf6e0a21f191d1e0a84287,YFI-WETH 3000 60,87,20,-309073.27642255946,1289914.7281047197
2021-05-24T00:00:00Z,0xefbd546647fda46067225bd0221e08ba91071584,RVP-WETH 10000 200,86,54,-51775.98709358633,438062.4929215703
2021-05-24T00:00:00Z,0xd35efae4097d005720608eaf37e42a5936c94b44,1INCH-WETH 3000 60,80,26,8425.523013639822,388162.1835728216
2021-05-24T00:00:00Z,0xc5af84701f98fa483ece78af83f11b6c38aca71d,WETH-USDT 10000 200,80,23,-44788.88159148043,110946.34525192954
2021-05-24T00:00:00Z,0x11a38dbd302a30e52c54bb348d8fe662307ff24c,WETH-WOOFY 10000 200,80,7,1055834.7004103248,1692342.8070683584
2021-05-24T00:00:00Z,0x829e48efcff5e879a8e1a789ac173449decb591f,DAI-FEI 3000 60,77,21,2953816.065624891,7749333.510763212
2021-05-24T00:00:00Z,0xcdb0bacd8dc32c45dce0f97536646cd40835fd93,WETH-ATRI 3000 60,71,50,-239.52372443519187,68429.40653665636
2021-05-24T00:00:00Z,0xb1608e16609a7ff3ac5b0da49a0539bb0c3c3d9d,EWTB-WETH 3000 60,68,37,-187751.5028572525,608148.6149752508
2021-05-24T00:00:00Z,0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,QNT-WETH 3000 60,67,34,-53798.259260898354,372811.9994013919
2021-05-24T00:00:00Z,0xe4b82df044511a7162bea1f11119f6d1283a43a8,SHOPX-WETH 3000 60,66,40,5805.153541564845,145015.9096295812
2021-05-24T00:00:00Z,0x6f483af1e32cc556d92de33c0b15c0f8b03a6d12,WETH-TRIBE 500 10,64,12,-347238.15700928785,1318652.8044764027
2021-05-24T00:00:00Z,0xb0a115d33a93b6ee11c8c0539e30ae648aa5753f,LEASH-SHIB 10000 200,63,14,138474.2731139974,861396.2598805372
2021-05-24T00:00:00Z,0x16980c16811bde2b3358c1ce4341541a4c772ec9,LUSD-DAI 500 10,63,22,-121240.07393908959,919862.473581482
2021-05-24T00:00:00Z,0x655e25fed94ddb846601705ace4349815e2a95d1,KYL-WETH 3000 60,61,40,151.1450880120644,65479.68633001611
2021-05-24T00:00:00Z,0x9359c87b38dd25192c5f2b07b351ac91c90e6ca7,DPI-WETH 3000 60,61,40,-122025.55824076006,378056.3642433043
2021-05-24T00:00:00Z,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE-WETH 3000 60,60,28,-101086.39486205435,749287.142319588
2021-05-24T00:00:00Z,0x632e675672f2657f227da8d9bb3fe9177838e726,RPL-WETH 3000 60,59,38,-170091.54794553126,1012531.1145144085
2021-05-24T00:00:00Z,0x9e0905249ceefffb9605e034b534544684a58be6,HEX-WETH 3000 60,58,32,7130.122004946511,95083.1926977892
2021-05-24T00:00:00Z,0xf7849d0852fc588210b9c0d8b26f43c0c9bc1470,HOT-WETH 10000 200,56,41,33908.2756057173,229991.0376882658
2021-05-24T00:00:00Z,0xe16be1798f860bc1eb0feb64cd67ca00ae9b6e58,WETH-ENJ 3000 60,56,26,30139.34415142563,328875.7200892187
2021-05-24T00:00:00Z,0x5d65ecbe922c0f93905121ec6806c185f1ebe268,USDC-TRIBE 500 10,56,12,12744.597201611527,5880553.360919425
2021-05-24T00:00:00Z,0x9a9cf34c3892acdb61fb7ff17941d8d81d279c75,WETH-VISR 3000 60,53,25,52734.54974857348,461039.03703728
2021-05-24T00:00:00Z,0x4c54ff7f1c424ff5487a32aad0b48b19cbaf087f,NEXO-WETH 3000 60,52,25,-27296.224239600433,209892.75017004283
2021-05-24T00:00:00Z,0x80c7770b4399ae22149db17e97f9fc8a10ca5100,LYXe-WETH 3000 60,49,28,-45360.769458615854,342068.9966501449
2021-05-24T00:00:00Z,0xeb30e8ffcbd02fd4a14a52e28cd300698d00e2f7,DUCK-WETH 10000 200,48,21,62405.30760522053,390042.59489234164
2021-05-24T00:00:00Z,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI-USDC 500 10,48,23,5895.282183166353,2102052.068315398
2021-05-24T00:00:00Z,0xede8dd046586d22625ae7ff2708f879ef7bdb8cf,SNX-WETH 3000 60,48,27,33625.300062830145,366108.39570085995
2021-05-24T00:00:00Z,0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,UNI-WETH 500 10,48,27,-72382.17276502514,157251.67516945506
2021-05-24T00:00:00Z,0xfaace66bd25abff62718abd6db97560e414ec074,WETH-RARI 3000 60,47,16,16181.014015537934,158050.82868670436
2021-05-24T00:00:00Z,0x99c7550be72f05ec31c446cd536f8a29c89fdb77,MATIC-WETH 10000 200,47,39,-2352.36817222236,16805.21924533786
2021-05-24T00:00:00Z,0x22a0738bde54050ffc04408063fd5fbdc1205bdf,UDT-WETH 3000 60,44,23,-7777.655453761075,161044.67030198593
2021-05-24T00:00:00Z,0x3470447f3cecffac709d3e783a307790b0208d60,UNI-USDT 3000 60,43,23,-45532.23557923091,94621.11138989303
2021-05-24T00:00:00Z,0x21ca348fef9f09fdb79b155a75efa7f02f82733a,MIR-WBTC 3000 60,43,19,-74580.71604160505,238013.8300200415
2021-05-24T00:00:00Z,0x00f59b15dc1fe2e16cde0678d2164fd5ff10e424,STC-WETH 10000 200,43,14,40593.453855129614,83916.9620420531
2021-05-24T00:00:00Z,0xf2c3bd0328bdb6106d34a3bd0df0ef744551cc82,HEGIC-WETH 10000 200,42,15,-23954.188551756648,456558.06210863387
2021-05-24T00:00:00Z,0x495864cad6cf60e97efcd3f14ff8b1f167956ba2,API3-WETH 3000 60,42,22,25778.87271960674,154662.3366653718
2021-05-24T00:00:00Z,0x5aaa28ca43c6646fd1403e508f0fca1d92357dde,LCX-WETH 10000 200,42,25,46771.875587847964,90609.92564204634
2021-05-24T00:00:00Z,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC-WETH 500 10,41,6,3887.521866532698,11852.078060069132
2021-05-24T00:00:00Z,0x695b30d636e4f232d443af6a93df95afd2ff485c,WETH-BEPRO 3000 60,41,18,1188.928665902553,57877.60813031486
2021-05-24T00:00:00Z,0x8b6ed5fa776f10787f1171bdeea4f3c40974df6e,DENT-WETH 10000 200,41,31,704.9383988215372,93424.5894861348
2021-05-24T00:00:00Z,0x92624da803a3e90f673c73195db8830f08219fc0,WETH-GDT 3000 60,41,21,944.8054804221193,115200.87639529158
2021-05-24T00:00:00Z,0xc772a65917d5da983b7fc3c9cfbfb53ef01aef7e,EPSTEIN-WETH 3000 60,41,31,-108420.76283866768,174097.00173615516
2021-05-24T00:00:00Z,0x283e2e83b7f3e297c4b7c02114ab0196b001a109,OCEAN-WETH 3000 60,40,24,10891.149068777468,344420.5947602143
2021-05-24T00:00:00Z,0xc3f6b81fb9e6db259272026601689e383f94c0b0,OVR-WETH 10000 200,40,20,24526.71762864761,135660.94970888397
2021-05-24T00:00:00Z,0x6b1c477b4c67958915b194ae8b007bf078dadb81,⚗️-WETH 3000 60,40,30,2648.184343428987,43058.07211172125
2021-05-24T00:00:00Z,0x2d7ba71dc3e391988bb7f356d07dacac92b03e5d,BPRO-WETH 10000 200,39,25,-10640.2604852425,163092.28036293774
2021-05-24T00:00:00Z,0xb0cc75ed5aabb0acce7cbf0302531bb260d259c4,SHIB-USDT 3000 60,39,32,-455.5438439446641,1775.4868895250404
2021-05-24T00:00:00Z,0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC-USDT 3000 60,38,19,-16350.321128001997,57785.887347371805
2021-05-24T00:00:00Z,0xda827fe99adb2643d80fd30f750b8b96321d7726,FUN-WETH 3000 60,38,6,230691.2169980061,338020.2647437161
2021-05-24T00:00:00Z,0x391e8501b626c623d39474afca6f9e46c2686649,WBTC-DAI 3000 60,38,21,-12166.35590030134,40820.606917475736
2021-05-24T00:00:00Z,0xbedf43fe5df23e163e5a844c3f6fbbe4d77e5113,FREE-WETH 3000 60,38,15,1738.7539241052054,48941.764019403316
2021-05-24T00:00:00Z,0xd0fc8ba7e267f2bc56044a7715a489d851dc6d78,UNI-USDC 3000 60,37,21,-65880.64435193954,133467.53262266668
2021-05-24T00:00:00Z,0x9f178e86e42ddf2379cb3d2acf9ed67a1ed2550a,UNI-LINK 3000 60,37,12,-492490.642780985,954702.3767638339
