HOUR,DEPOSITS,WITHDRAWALS
2021-05-24T19:00:00Z,15671611.477528509,-16118143.42319493
2021-05-24T18:00:00Z,55822105.81145937,-12453383.76816622
2021-05-24T17:00:00Z,14569393.3258465,-54625040.56030926
2021-05-24T16:00:00Z,41195547.09431025,-15761619.767097615
2021-05-24T15:00:00Z,80551400.07068251,-85643618.85886747
2021-05-24T14:00:00Z,62573354.01336779,-29885260.315011024
2021-05-24T13:00:00Z,35734989.5806926,-6921887.288149443
2021-05-24T12:00:00Z,32831383.488041725,-36757478.952869184
2021-05-24T11:00:00Z,25468777.76484819,-20484915.770487413
2021-05-24T10:00:00Z,13078138.756245574,-13292516.28168276
2021-05-24T09:00:00Z,25327393.182784338,-11435415.998138884
2021-05-24T08:00:00Z,26861695.605150647,-10054092.463452548
2021-05-24T07:00:00Z,19897333.42717711,-28040399.54731971
2021-05-24T06:00:00Z,36941486.03789114,-19952681.548365004
2021-05-24T05:00:00Z,33334439.34466017,-33132906.685410593
2021-05-24T04:00:00Z,19338153.68912021,-13862047.411454456
2021-05-24T03:00:00Z,95381648.02422439,-19851132.70720064
2021-05-24T02:00:00Z,5799801.690651571,-2289411.284044107
2021-05-24T01:00:00Z,43112347.612562925,-16146506.95764332
2021-05-24T00:00:00Z,17329518.41457479,-20909677.592315238
2021-05-23T23:00:00Z,11868121.645720392,-2021327.7525814786
2021-05-23T22:00:00Z,9864170.471359722,-5092099.41329252
2021-05-23T21:00:00Z,5868283.657911699,-6826539.153572036
2021-05-23T20:00:00Z,12594832.564546196,-6083958.772038424
2021-05-23T19:00:00Z,5735104.036410577,-7105774.925881909
2021-05-23T18:00:00Z,40329824.77698606,-27696328.776022587
2021-05-23T17:00:00Z,7116636.855683843,-1792432.2902780639
2021-05-23T16:00:00Z,2942128.2207434606,-29492913.297971282
2021-05-23T15:00:00Z,42736406.250266954,-69701167.34276061
2021-05-23T14:00:00Z,12806305.30123809,-8758140.57983384
2021-05-23T13:00:00Z,66189511.61245353,-44292353.161046796
2021-05-23T12:00:00Z,14538733.052416526,-37480190.77776251
2021-05-23T11:00:00Z,7528402.441447149,-6682970.745351265
2021-05-23T10:00:00Z,5225623.280963457,-3595973.248888873
2021-05-23T09:00:00Z,21056865.786645316,-16622318.506248463
2021-05-23T08:00:00Z,6998894.0780711165,-17265062.540975105
2021-05-23T07:00:00Z,5321720.835034538,-5238812.353950708
2021-05-23T06:00:00Z,10489445.98820372,-4485861.443625727
2021-05-23T05:00:00Z,3491711.9230220686,-5291030.556977956
2021-05-23T04:00:00Z,5529767.699716117,-2087606.2530060876
2021-05-23T03:00:00Z,4854677.363685675,-5637987.116975024
2021-05-23T02:00:00Z,2315917.956842877,-2774007.5789513574
2021-05-23T01:00:00Z,17657217.175050445,-4530389.613061747
2021-05-23T00:00:00Z,3455530.414851483,-12584388.118047448
2021-05-22T23:00:00Z,5609728.267633807,-1297407.5369800972
2021-05-22T22:00:00Z,1417101.6596627673,-219069.68958096026
2021-05-22T21:00:00Z,4150748.864097879,-454176.6141104703
2021-05-22T20:00:00Z,7879100.477186384,-2488200.667536543
2021-05-22T19:00:00Z,9236280.929563664,-3432230.507055736
2021-05-22T18:00:00Z,23728420.794771258,-21112433.035512187
2021-05-22T17:00:00Z,8485840.792527774,-5119326.579648677
2021-05-22T16:00:00Z,19792424.448876586,-15821584.91177457
2021-05-22T15:00:00Z,4070003.0446590493,-2894058.1856626095
2021-05-22T14:00:00Z,8442858.53185392,-975171.433855709
2021-05-22T13:00:00Z,7554052.805389072,-5446673.81330251
2021-05-22T12:00:00Z,2424516.7653207164,-3189380.7256909367
2021-05-22T11:00:00Z,6471506.458571253,-5409303.145612621
2021-05-22T10:00:00Z,6560904.76310793,-5000801.552784312
2021-05-22T09:00:00Z,24344168.440911517,-15247385.13881734
2021-05-22T08:00:00Z,16406535.732986616,-3156043.315771599
2021-05-22T07:00:00Z,11935238.100494508,-25120378.509433277
2021-05-22T06:00:00Z,10747917.955636837,-11774025.696492147
2021-05-22T05:00:00Z,38905109.759428,-37575135.25378597
2021-05-22T04:00:00Z,15878083.370264873,-5285941.932249227
2021-05-22T03:00:00Z,21993040.360494424,-31696960.010301284
2021-05-22T02:00:00Z,4368209.855517782,-2433328.5562700327
2021-05-22T01:00:00Z,17928059.74649317,-14064346.066758541
2021-05-22T00:00:00Z,5277226.802028585,-6000395.009539908
2021-05-21T23:00:00Z,7461965.165480618,-3339049.7349402714
2021-05-21T22:00:00Z,2591665.4668819862,-7532258.065145852
2021-05-21T21:00:00Z,10447223.677182471,-57918278.52797552
2021-05-21T20:00:00Z,3738790.3913898207,-10714803.963894447
2021-05-21T19:00:00Z,16278640.108501254,-20614357.005881045
2021-05-21T18:00:00Z,23925792.437317863,-20535238.97939303
2021-05-21T17:00:00Z,19007018.88020555,-13343989.511513632
2021-05-21T16:00:00Z,18318535.905098695,-23402293.720571905
2021-05-21T15:00:00Z,5461949.29570356,-22214571.831644673
2021-05-21T14:00:00Z,14137037.87741242,-15936554.412110556
2021-05-21T13:00:00Z,12685327.700518053,-9125788.767719263
2021-05-21T12:00:00Z,16478566.106357966,-9815970.10026556
2021-05-21T11:00:00Z,19008998.365778107,-29371029.613146227
2021-05-21T10:00:00Z,11228010.044506751,-4316584.7456312515
2021-05-21T09:00:00Z,34052786.06413089,-17810842.03288354
2021-05-21T08:00:00Z,31588743.724081054,-9314099.644134678
2021-05-21T07:00:00Z,17086346.839802053,-10886332.234185599
2021-05-21T06:00:00Z,9746640.85661337,-5805759.877739661
2021-05-21T05:00:00Z,34657903.640984,-34669389.31534649
2021-05-21T04:00:00Z,3201282.8205007715,-2553379.2019635485
2021-05-21T03:00:00Z,24538299.83947903,-3864267.9084948893
